DICIONÁRIO DE VARIÁVEIS - ENEM 2022;;;;;
;;;;;
NOME DA VARIÁVEL;Descrição;Variáveis Categóricas;;Tamanho ;Tipo
;;1;Presente na prova;;
;;2;Eliminado na prova;;
TP_PRESENCA_MT;Presença na prova objetiva de Matemática;0;Faltou à prova;1;Numérica
;;1;Presente na prova;;
;;2;Eliminado na prova;;
CO_PROVA_CN;Código do tipo de prova de Ciências da Natureza;1085;Azul;4;Numérica
;;1086;Amarela;;
;;1087;Cinza;;
;;1088;Rosa;;
;;1092;Laranja - Adaptada Ledor;;
;;1093;Verde - Videoprova - Libras;;
;;1165;Azul (Reaplicação);;
;;1166;Amarela (Reaplicação);;
;;1167;Cinza (Reaplicação);;
;;1168;Rosa (Reaplicação);;
;;1187;Azul (Digital);;
;;1188;Amarela (Digital);;
;;1189;Rosa (Digital);;
;;1190;Cinza (Digital);;
CO_PROVA_CH;Código do tipo de prova de Ciências Humanas;1055;Azul;4;Numérica
;;1056;Amarela;;
;;1057;Branca;;
;;1058;Rosa;;
;;1062;Laranja - Adaptada Ledor;;
;;1063;Verde - Videoprova - Libras;;
;;1135;Azul (Reaplicação);;
;;1136;Amarela (Reaplicação);;
;;1137;Branca (Reaplicação);;
;;1138;Rosa (Reaplicação);;
;;1175;Azul (Digital);;
;;1176;Amarela (Digital);;
;;1177;Branca (Digital);;
;;1178;Rosa (Digital);;
CO_PROVA_LC;Código do tipo de prova de Linguagens e Códigos;1065;Azul;4;Numérica
;;1066;Amarela;;
;;1067;Rosa;;
;;1068;Branca;;
;;1072;Laranja - Adaptada Ledor;;
;;1073;Verde - Videoprova - Libras;;
;;1145;Azul (Reaplicação);;
;;1146;Amarela (Reaplicação);;
;;1147;Rosa (Reaplicação);;
;;1148;Branca (Reaplicação);;
;;1179;Azul (Digital);;
;;1180;Amarela (Digital);;
;;1181;Branca (Digital);;
;;1182;Rosa (Digital);;
CO_PROVA_MT;Código do tipo de prova de Matemática;1075;Azul;4;Numérica
;;1076;Amarela;;
;;1077;Rosa;;
;;1078;Cinza;;
;;1082;Laranja - Adaptada Ledor;;
;;1083;Verde - Videoprova - Libras;;
;;1155;Azul (Reaplicação);;
;;1156;Amarela (Reaplicação);;
;;1157;Rosa (Reaplicação);;
;;1158;Cinza (Reaplicação);;
;;1183;Azul (Digital);;
;;1184;Amarela (Digital);;
;;1185;Rosa (Digital);;
;;1186;Cinza (Digital);;
NU_NOTA_CN;Nota da prova de Ciências da Natureza;;;9;Numérica
NU_NOTA_CH;Nota da prova de Ciências Humanas;;;9;Numérica
NU_NOTA_LC;Nota da prova de Linguagens e Códigos;;;9;Numérica
NU_NOTA_MT;Nota da prova de Matemática;;;9;Numérica
TX_RESPOSTAS_CN;Vetor com as respostas da parte objetiva da prova de Ciências da Natureza4 ;;A,B,C,D, E, * (dupla marcação), . (em branco);45;Alfanumérica
TX_RESPOSTAS_CH;Vetor com as respostas da parte objetiva da prova de Ciências Humanas4;;A,B,C,D, E, * (dupla marcação), . (em branco);45;Alfanumérica
TX_RESPOSTAS_LC;Vetor com as respostas da parte objetiva da prova de Linguagens e Códigos5 ;;A,B,C,D, E, * (dupla marcação), . (em branco), 9 (Item não apresentado);45;Alfanumérica
TX_RESPOSTAS_MT;Vetor com as respostas da parte objetiva da prova de Matemática4 ;;A,B,C,D, E, * (dupla marcação), . (em branco);45;Alfanumérica
TP_LINGUA;Língua Estrangeira ;0;Inglês;1;Numérica
;;1;Espanhol;;
TX_GABARITO_CN;Vetor com o gabarito da parte objetiva da prova de Ciências da Natureza6 ;;;45;Alfanumérica
TX_GABARITO_CH;Vetor com o gabarito da parte objetiva da prova de Ciências Humanas6 ;;;45;Alfanumérica
TX_GABARITO_LC;Vetor com o gabarito da parte objetiva da prova de Linguagens e Códigos7 ;;;50;Alfanumérica
TX_GABARITO_MT;Vetor com o gabarito da parte objetiva da prova de Matemática6;;;45;Alfanumérica
DADOS DA REDAÇÃO;;;;;
TP_STATUS_REDACAO;Situação da redação do participante;1;Sem problemas;1;Numérica
;;2;Anulada;;
;;3;Cópia Texto Motivador;;
;;4;Em Branco;;
;;6;Fuga ao tema;;
;;7;Não atendimento ao tipo textual;;
;;8;Texto insuficiente;;
;;9;Parte desconectada;;
NU_NOTA_COMP1;Nota da competência 1 - Demonstrar domínio da modalidade escrita formal da Língua Portuguesa.;;;9;Numérica
NU_NOTA_COMP2;Nota da competência 2 - Compreender a proposta de redação e aplicar conceitos das várias áreas de conhecimento para desenvolver o tema, dentro dos limites estruturais do texto dissertativo-argumentativo em prosa.;;;9;Numérica
NU_NOTA_COMP3;Nota da competência 3 - Selecionar, relacionar, organizar e interpretar informações, fatos, opiniões e argumentos em defesa de um ponto de vista.;;;9;Numérica
NU_NOTA_COMP4;Nota da competência 4 - Demonstrar conhecimento dos mecanismos linguísticos necessários para a construção da argumentação.;;;9;Numérica
NU_NOTA_COMP5;Nota da competência 5 - Elaborar proposta de intervenção para o problema abordado, respeitando os direitos humanos.;;;9;Numérica
NU_NOTA_REDACAO;Nota da prova de redação;;;9;Numérica
DADOS DO QUESTIONÁRIO SOCIOECONÔMICO;;;;;
Q001;Até que série seu pai, ou o homem responsável por você, estudou?;A;Nunca estudou.;1;Alfanumérica
;;B;Não completou a 4ª série/5º ano do Ensino Fundamental.;;
;;C;Completou a 4ª série/5º ano, mas não completou a 8ª série/9º ano do Ensino Fundamental.;;
;;D;Completou a 8ª série/9º ano do Ensino Fundamental, mas não completou o Ensino Médio.;;
;;E;Completou o Ensino Médio, mas não completou a Faculdade.;;
;;F;Completou a Faculdade, mas não completou a Pós-graduação.;;
;;G;Completou a Pós-graduação.;;
;;H;Não sei.;;
Q002;Até que série sua mãe, ou a mulher responsável por você, estudou?;A;Nunca estudou.;1;Alfanumérica
;;B;Não completou a 4ª série/5º ano do Ensino Fundamental.;;
;;C;Completou a 4ª série/5º ano, mas não completou a 8ª série/9º ano do Ensino Fundamental.;;
;;D;Completou a 8ª série/9º ano do Ensino Fundamental, mas não completou o Ensino Médio.;;
;;E;Completou o Ensino Médio, mas não completou a Faculdade.;;
;;F;Completou a Faculdade, mas não completou a Pós-graduação.;;
;;G;Completou a Pós-graduação.;;
;;H;Não sei.;;
Q003;A partir da apresentação de algumas ocupações divididas em grupos ordenados, indique o grupo que contempla a ocupação mais próxima da ocupação do seu pai ou do homem responsável por você. (Se ele não estiver trabalhando, escolha uma ocupação pensando no último trabalho dele).;A;Grupo 1: Lavrador, agricultor sem empregados, bóia fria, criador de animais (gado, porcos, galinhas, ovelhas, cavalos etc.), apicultor, pescador, lenhador, seringueiro, extrativista.;1;Alfanumérica
;;B;Grupo 2: Diarista, empregado doméstico, cuidador de idosos, babá, cozinheiro (em casas particulares), motorista particular, jardineiro, faxineiro de empresas e prédios, vigilante, porteiro, carteiro, office-boy, vendedor, caixa, atendente de loja, auxiliar administrativo, recepcionista, servente de pedreiro, repositor de mercadoria.;;
;;C;Grupo 3: Padeiro, cozinheiro industrial ou em restaurantes, sapateiro, costureiro, joalheiro, torneiro mecânico, operador de máquinas, soldador, operário de fábrica, trabalhador da mineração, pedreiro, pintor, eletricista, encanador, motorista, caminhoneiro, taxista.;;
;;D;Grupo 4: Professor (de ensino fundamental ou médio, idioma, música, artes etc.), técnico (de enfermagem, contabilidade, eletrônica etc.), policial, militar de baixa patente (soldado, cabo, sargento), corretor de imóveis, supervisor, gerente, mestre de obras, pastor, microempresário (proprietário de empresa com menos de 10 empregados), pequeno comerciante, pequeno proprietário de terras, trabalhador autônomo ou por conta própria.;;
;;E;Grupo 5: Médico, engenheiro, dentista, psicólogo, economista, advogado, juiz, promotor, defensor, delegado, tenente, capitão, coronel, professor universitário, diretor em empresas públicas ou privadas, político, proprietário de empresas com mais de 10 empregados.;;
;;F;Não sei.;;
Q004;A partir da apresentação de algumas ocupações divididas em grupos ordenados, indique o grupo que contempla a ocupação mais próxima da ocupação da sua mãe ou da mulher responsável por você. (Se ela não estiver trabalhando, escolha uma ocupação pensando no último trabalho dela).;A;Grupo 1: Lavradora, agricultora sem empregados, bóia fria, criadora de animais (gado, porcos, galinhas, ovelhas, cavalos etc.), apicultora, pescadora, lenhadora, seringueira, extrativista.;2;Numérica
;;B;Grupo 2: Diarista, empregada doméstica, cuidadora de idosos, babá, cozinheira (em casas particulares), motorista particular, jardineira, faxineira de empresas e prédios, vigilante, porteira, carteira, office-boy, vendedora, caixa, atendente de loja, auxiliar administrativa, recepcionista, servente de pedreiro, repositora de mercadoria.;;
;;C;Grupo 3: Padeira, cozinheira industrial ou em restaurantes, sapateira, costureira, joalheira, torneira mecânica, operadora de máquinas, soldadora, operária de fábrica, trabalhadora da mineração, pedreira, pintora, eletricista, encanadora, motorista, caminhoneira, taxista.;;
;;D;Grupo 4: Professora (de ensino fundamental ou médio, idioma, música, artes etc.), técnica (de enfermagem, contabilidade, eletrônica etc.), policial, militar de baixa patente (soldado, cabo, sargento), corretora de imóveis, supervisora, gerente, mestre de obras, pastora, microempresária (proprietária de empresa com menos de 10 empregados), pequena comerciante, pequena proprietária de terras, trabalhadora autônoma ou por conta própria.;;
;;E;Grupo 5: Médica, engenheira, dentista, psicóloga, economista, advogada, juíza, promotora, defensora, delegada, tenente, capitã, coronel, professora universitária, diretora em empresas públicas ou privadas, política, proprietária de empresas com mais de 10 empregados.;;
;;F;Não sei.;;
Q005;Incluindo você, quantas pessoas moram atualmente em sua residência?;1;1, pois moro sozinho(a).;2;Numérica
;;2;2;;
;;3;3;;
;;4;4;;
;;5;5;;
;;6;6;;
;;7;7;;
;;8;8;;
;;9;9;;
;;10;10;;
;;11;11;;
;;12;12;;
;;13;13;;
;;14;14;;
;;15;15;;
;;16;16;;
;;17;17;;
;;18;18;;
;;19;19;;
;;20;20;;
Q006;Qual é a renda mensal de sua família? (Some a sua renda com a dos seus familiares.);A;Nenhuma Renda;1;Alfanumérica
;;B;Até R$ 1.212,00;;
;;C;De R$ 1.212,01 até R$ 1.818,00.;;
;;D;De R$ 1.818,01 até R$ 2.424,00.;;
;;E;De R$ 2.424,01 até R$ 3.030,00.;;
;;F;De R$ 3.030,01 até R$ 3.636,00.;;
;;G;De R$ 3.636,01 até R$ 4.848,00.;;
;;H;De R$ 4.848,01 até R$ 6.060,00.;;
;;I;De R$ 6.060,01 até R$ 7.272,00.;;
;;J;De R$ 7.272,01 até R$ 8.484,00.;;
;;K;De R$ 8.484,01 até R$ 9.696,00.;;
;;L;De R$ 9.696,01 até R$ 10.908,00.;;
;;M;De R$ 10.908,01 até R$ 12.120,00.;;
;;N;De R$ 12.120,01 até R$ 14.544,00.;;
;;O;De R$ 14.544,01 até R$ 18.180,00.;;
;;P;De R$ 18.180,01 até R$ 24.240,00.;;
;;Q;Acima de R$ 24.240,00.;;
Q007;Em sua residência trabalha empregado(a) doméstico(a)?;A;Não.;1;Alfanumérica
;;B;Sim, um ou dois dias por semana.;;
;;C;Sim, três ou quatro dias por semana.;;
;;D;Sim, pelo menos cinco dias por semana.;;
Q008;Na sua residência tem banheiro?;A;Não.;1;Alfanumérica
;;B;Sim, um.;;
;;C;Sim, dois.;;
;;D;Sim, três.;;
;;E;Sim, quatro ou mais.;;
Q009;Na sua residência tem quartos para dormir?;A;Não.;1;Alfanumérica
;;B;Sim, um.;;
;;C;Sim, dois.;;
;;D;Sim, três.;;
;;E;Sim, quatro ou mais.;;
Q010;Na sua residência tem carro?;A;Não.;1;Alfanumérica
;;B;Sim, um.;;
;;C;Sim, dois.;;
;;D;Sim, três.;;
;;E;Sim, quatro ou mais.;;
Q011;Na sua residência tem motocicleta?;A;Não.;1;Alfanumérica
;;B;Sim, uma.;;
;;C;Sim, duas.;;
;;D;Sim, três.;;
;;E;Sim, quatro ou mais.;;
Q012;Na sua residência tem geladeira?;A;Não.;1;Alfanumérica
;;B;Sim, uma.;;
;;C;Sim, duas.;;
;;D;Sim, três.;;
;;E;Sim, quatro ou mais.;;
Q013;Na sua residência tem freezer (independente ou segunda porta da geladeira)?;A;Não.;1;Alfanumérica
;;B;Sim, um.;;
;;C;Sim, dois.;;
;;D;Sim, três.;;
;;E;Sim, quatro ou mais.;;
Q014;Na sua residência tem máquina de lavar roupa? (o tanquinho NÃO deve ser considerado);A;Não.;1;Alfanumérica
;;B;Sim, uma.;;
;;C;Sim, duas.;;
;;D;Sim, três.;;
;;E;Sim, quatro ou mais.;;
Q015;Na sua residência tem máquina de secar roupa (independente ou em conjunto com a máquina de lavar roupa)?;A;Não.;1;Alfanumérica
;;B;Sim, uma.;;
;;C;Sim, duas.;;
;;D;Sim, três.;;
;;E;Sim, quatro ou mais.;;
Q016;Na sua residência tem forno micro-ondas?;A;Não.;1;Alfanumérica
;;B;Sim, um.;;
;;C;Sim, dois.;;
;;D;Sim, três.;;
;;E;Sim, quatro ou mais.;;
Q017;Na sua residência tem máquina de lavar louça?;A;Não.;1;Alfanumérica
;;B;Sim, uma.;;
;;C;Sim, duas.;;
;;D;Sim, três.;;
;;E;Sim, quatro ou mais.;;
Q018;Na sua residência tem aspirador de pó?;A;Não.;1;Alfanumérica
;;B;Sim.;;
Q019;Na sua residência tem televisão em cores?;A;Não.;1;Alfanumérica
;;B;Sim, uma.;;
;;C;Sim, duas.;;
;;D;Sim, três.;;
;;E;Sim, quatro ou mais.;;
Q020;Na sua residência tem aparelho de DVD?;A;Não.;1;Alfanumérica
;;B;Sim.;;
Q021;Na sua residência tem TV por assinatura?;A;Não.;1;Alfanumérica
;;B;Sim.;;
Q022;Na sua residência tem telefone celular?;A;Não.;1;Alfanumérica
;;B;Sim, um.;;
;;C;Sim, dois.;;
;;D;Sim, três.;;
;;E;Sim, quatro ou mais.;;
Q023;Na sua residência tem telefone fixo?;A;Não.;1;Alfanumérica
;;B;Sim.;;
Q024;Na sua residência tem computador?;A;Não.;1;Alfanumérica
;;B;Sim, um.;;
;;C;Sim, dois.;;
;;D;Sim, três.;;
;;E;Sim, quatro ou mais.;;
Q025;Na sua residência tem acesso à Internet?;A;Não.;1;Alfanumérica
;;B;Sim.;;
1. Referente ao Enem 2022, trata-se de uma máscara e não o seu número de inscrição original no Enem. O mesmo NU_INSCRICAO para anos diferentes não identifica o mesmo participante no exame, não permite o acesso aos dados cadastrais como nome, endereço, RG etc, nem identifica o mesmo participante em microdados de pesquisas diferentes.;;;;;
2. A partir da Idade do inscrito em 31/12/2022.;;;;;
3. Foi considerado treineiro o inscrito que não havia concluído o ensino médio e não o concluiria em 2022;;;;;
4. As 45 primeiras posições deste campo são referentes as respectivas respostas. O asterisco (*) indica dupla marcação e o ponto (.) resposta em branco.;;;;;
5. As 45 primeiras posições deste campo são referentes as respectivas respostas, das quais as 5 primeiras correspondem a parte de língua estrangeira. O asterisco (*) indica dupla marcação e o ponto (.) resposta em branco.;;;;;
6. As 45 primeiras posições deste campo são referentes ao respectivo gabarito;;;;;
7. As 50 primeiras posições deste campo são referentes ao respectivo gabarito, das quais, para as 10 primeiras, as 5 primeiras correspondem à prova de Lingua Inglesa e as outras 5 à prova de Lingua Espanhola.;;;;;
